sample_id,depth_m,lithology,porosity,permeability_mD
S-001,1495.6,Sandstone,0.1983,18.75
S-002,1510.5,Sandstone,0.1176,5.13
S-003,1513.1,Dolomite,0.225,77.14
S-004,1525.4,Limestone,0.2364,203.23
S-005,1554.3,Sandstone,0.0629,1.94
S-006,1548.2,Shale,0.1019,3.85
S-007,1560.1,Limestone,0.1877,63.93
S-008,1585.7,Dolomite,0.161,6.69
S-009,1601.9,Shale,0.179,14.57
S-010,1592.5,Limestone,0.1288,3.5
S-011,1607.4,Sandstone,0.2328,64.92
S-012,1621.9,Dolomite,0.2267,30.84
S-013,1639.7,Shale,0.184,35.45
S-014,1637.1,Dolomite,0.2476,104.12
S-015,1651.7,Sandstone,0.2081,18.3
S-016,1667.8,Shale,0.1284,3.29
S-017,1677.0,Limestone,0.2021,46.03
S-018,1683.8,Sandstone,0.1225,8.61
S-019,1696.0,Limestone,0.2327,271.43
S-020,1700.7,Limestone,0.177,116.91
S-021,1717.3,Sandstone,0.1689,21.31
S-022,1728.1,Limestone,0.1391,4.36
S-023,1741.5,Shale,0.2534,38.19
S-024,1748.5,Sandstone,0.1707,20.43
S-025,1764.5,Limestone,0.1543,7.08
S-026,1778.2,Limestone,0.1589,10.08
S-027,1784.8,Sandstone,0.2119,33.76
S-028,1796.7,Dolomite,0.2019,34.87
S-029,1806.1,Shale,0.2048,77.22
S-030,1816.8,Sandstone,0.2058,45.99
S-031,1824.1,Dolomite,0.3085,495.35
S-032,1840.2,Shale,0.1556,6.4
S-033,1849.1,Sandstone,0.1493,3.72
S-034,1871.0,Shale,0.1312,4.83
S-035,1879.3,Sandstone,0.217,53.5
S-036,1884.3,Dolomite,0.2477,344.53
S-037,1889.5,Limestone,0.1732,19.99
S-038,1898.6,Limestone,0.1296,11.22
S-039,1921.1,Sandstone,0.1305,4.72
S-040,1927.4,Shale,0.219,28.59
S-041,1939.4,Sandstone,0.2246,37.48
S-042,1939.2,Sandstone,0.2126,32.06
S-043,1963.5,Sandstone,0.1401,28.99
S-044,1972.0,Shale,0.1939,18.98
S-045,1975.1,Sandstone,0.187,43.21
S-046,1989.2,Dolomite,0.1931,17.71
